date,type,reg,operator,location,fatalities,damage_level
12-10-2022,Honda HA-420 HondaJet,N704JT,Jupiter Aviation LLC,"West Michigan Regional Airport (BIV/KBIV), Holland, MI",0,Medium
13-10-2022,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FDDX,True North Airways,"Lac PLuto, QC",0,High
13-10-2022,Cessna 208B Grand Caravan,OB-2228,SAETA Peru,near Jeberos,0,High
16-10-2022,Cirrus SF50 Vision Jet G2,HK-5342G,Panamerican Training Center - PTC,Santa Marta-Simón Bolívar Airport (SMR),1,Medium
18-10-2022,Beechcraft 99 Airliner,C6-OFM,Flamingo Air Charter,Black Point Airstrip (MYEB),0,Medium
19-10-2022,de Havilland Canada DHC-8-314 Dash 8,C-GJYZ,Perimeter Aviation,"Sandy Lake Airport, ON (ZSJ)",0,Medium
22-10-2022,Boeing 737-8AS (WL),EI-EKJ,Ryanair,Agadir-Al Massira International Airport (AGA/GMAA),0,Low
23-10-2022,Airbus A330-322,HL7525,Korean Air,Mactan-Cebu International Airport (CEB),0,Medium
25-10-2022,Cessna 208B Grand Caravan,PK-RVA,Reven Global Transpor,Ilaga Airport (ILA/WABL),0,Medium
27-10-2022,Canadair CL-215-6B11 (CL-415),I-DPCN,Vigili del Fuoco,"near Linguaglossa, Sicily",2,High
28-10-2022,Embraer EMB-110C Bandeirante,FAU-583,Fuerza Aérea Uruguaya - FAU,Montevideo-Carrasco Airport (MVD),0,Medium
02-11-2022,Airbus A319-132,N519NK,Spirit Airlines,"near New Orleans, LA",0,Low
03-11-2022,Eclipse 550,N150NE,Elite Flight Travel,"Mesa-Falcon Field, AZ (MSC)",0,Medium
03-11-2022,Let L-410UVP-E20,9S-GPK,Goma Express,c 115 km ESE of Kasese,3,High
06-11-2022,Cessna 208B Grand Caravan,AMB 0956,Aviación Militar Bolivariana,3 km from Puerto Ayacucho Airport (PYH),5,High
06-11-2022,ATR 42-500,5H-PWF,Precision Air,off Bukoba Airport (BKZ),19,Medium
07-11-2022,ATR 72-600 (72-212A),JA06JC,Japan Air Commuter,Kagoshima Airport (KOJ/RJFK),0,Low
09-11-2022,Boeing 737-7H4 (WL),N963WN,Southwest Airlines,"Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Medium
09-11-2022,Boeing 737-823 (WL),N909NN,American Airlines,"Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Medium
10-11-2022,Boeing 737 MAX 8,N316SE,American Airlines,"SE of Miami, FL",0,Low
12-11-2022,Boeing B-17G Flying Fortress,N7227C,American Airpower Heritage Museum,"Dallas Executive Airport, TX (RBD/KRBD)",6,High
14-11-2022,Antonov An-2,CU-A1885,Risk Mondial Aviation & Recovery,"W of Miami-Dade County, FL",0,Medium
15-11-2022,Honda HA-420 HondaJet,N789RJ,Andersen Air LLC,"Salt Lake City International Airport, UT (SLC)",0,Medium
15-11-2022,Fairchild SA227-AT Expediter,N247DH,Ameriflight,"Pewaukee, WI",0,Medium
17-11-2022,Embraer EMB-110P1 Bandeirante,C6-CAB,LeAir Charter Services,Nassau-Lynden Pindling International Airport (NAS/MYNN),0,Low
17-11-2022,Beechcraft 1900D,VH-NYA,Penjet Pty Ltd,"Fortnum Airport (YFOR), Fortnum, WA",0,Medium
18-11-2022,Airbus A320-271N,CC-BHB,LATAM Perú,Lima-Jorge Chávez International Airport (LIM),2,High
18-11-2022,Cessna 208B Grand Caravan EX,N2069B,Raisbeck Engineering,"near Snohomish, WA",4,High
19-11-2022,Airbus A320-211,N330NW,Delta Air Lines,"near Omaha-Eppley Airfield (OMA/KOMA), Omaha, NE",0,Medium
20-11-2022,Boeing 737-4Q8 (SF),TF-BBM,"Bluebird Cargo, opf ASL Airlines Belgium",Paris-Charles de Gaulle Airport (CDG),0,Medium
25-11-2022,Cirrus SF50 Vision Jet G2,N15VJ,Verijet,"1,6 km SW of Indianapolis Regional Airport, IN",0,Medium
28-11-2022,Airbus A330-243,PR-AIY,Azul Linhas Aéreas Brasileiras,"near Manaus, AM",0,Low
29-11-2022,Boeing 737-7H4 (WL),N946WN,Southwest Airlines,"near Denver, CO",0,Low
29-11-2022,Learjet 45,N988MC,Jett Aircraft,"Batesville Regional Airport, AR (BVX)",0,Medium
30-11-2022,Learjet 36,N12FN,Aery Aviation,"Newport News/Williamsburg International Airport, VA (PHF)",0,Medium
01-12-2022,Learjet 35A,N979RF,"REVA, Inc.",Guantánamo Naval Air Station (NBW),0,Medium
03-12-2022,Embraer ERJ-175LR,N85356,Mesa Airlines,"Taneytown, MD",0,Low
07-12-2022,British Aerospace BAe-146-200,CC-ACO,Antarctic Airways,Iquique-Diego Aracena International Airport (IQQ/SCDA),0,Medium
08-12-2022,Boeing 767-322ER (WL),N649UA,United Airlines,"near Albany, NJ",0,Low
15-12-2022,Swearingen SA226-TC Metro II,N398KL,Key Lime Air,"Wichita Dwight D. Eisenhower National Airport, KS (ICT)",0,Medium
17-12-2022,de Havilland Canada DHC-8-402QPF Dash 8,5Y-VVY,Blue Bird Aviation,Abudwak Airstrip,0,Medium
18-12-2022,Airbus A330-243,N393HA,Hawaiian Airlines,"65 nm NNE of Maui, HI",0,Low
18-12-2022,Boeing 737-824 (WL),N87531,United Airlines,"near Cobán, Alta Verapaz",0,Low
23-12-2022,de Havilland Canada DHC-6 Twin Otter 300,PK-OTY,Rimbun Air,Moanemani Airport (ONI),0,Medium
24-12-2022,Gulfstream GIV-X (G450),N456FX,Flexjet LLC,"Miami, Florida",0,Low
26-12-2022,Boeing 737-860 (WL),ET-APL,Ethiopian Airlines,Mogadishu Aden Adde International Airport (MGQ/HCMM),0,Medium
26-12-2022,Boeing 737 MAX 8-200,EI-HEY,Ryanair,Bremen Airport (BRE/EDDW),0,Low
26-12-2022,Boeing 737-3Z0,C5-MAB,"Tarco Aviation, lsf Mid Africa Aviation",Mogadishu Aden Adde International Airport (MGQ),0,Medium
27-12-2022,Embraer EMB-505 Phenom 300,N16DF,Skystallion LLC,"Hawthorne Airport, CA (HHR)",0,Medium
30-12-2022,Canadair CL-600S Challenger 600,XB-SGV,private,near Venado,2,High
31-12-2022,Embraer ERJ-175LR (ERJ-170-200 LR),N264NN,"American Eagle, opb Envoy Air","Montgomery Regional Airport (MGM/KMGM), Montgomery, AL",1,Low
31-12-2022,Cessna 208B Grand Caravan,5X-GBR,BAR Aviation,Mweya Airport (HUMW),0,High
02-01-2021,Beechcraft 200 Super King Air,N831WP,"Vagus Group, Inc.","White Plains-Westchester County Airport, NY (HPN)",0,Low
02-01-2021,Learjet 31A,PP-BBV,Brasil Vida Táxi Aéreo,"Diamantina Airport, MG (DTI)",0,Medium
09-01-2021,Cessna 560 Citation V,N3RB,SX Transport LLC,"23 km SE of Pine Grove, OR",1,High
09-01-2021,Boeing 737-524 (WL),PK-CLC,Sriwijaya Air,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),62,High
12-01-2021,Harbin Y-12-II,others,Kenya Air Force - KAF,ca 10 km N of Voi,4,High
17-01-2021,Boeing 777-31HER,A6-EPN,Emirates,Nicosia FIR,0,Low
19-01-2021,Avro RJ85,G-JOTR,Jota Aviation,London-Biggin Hill Airport (BQH),0,Medium
19-01-2021,Boeing 737-4Q8 (SF),G-JMCY,West Atlantic UK,Exeter Airport (EXT/EGTE),0,Medium
23-01-2021,North American Rockwell Sabreliner 60,XB-JMR,Aviacion Ejecutiva del Bajio,"Rocky Point, Clarendon",0,Medium
24-01-2021,Raytheon Beechjet 400A,N476BJ,Martinair Inc.,"Binghamton Airport, NY (BGM)",0,Medium
